City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,kapa'a,22.0752,-159.319,77.32,89,75,14.97,US,1731267720
301,ebon,4.582,168.6964,82.63,79,100,14.72,MH,1731267721
302,lalsot,26.5667,76.3333,72.66,31,0,5.82,IN,1731267722
303,ouro preto do oeste,-10.7481,-62.2158,85.73,64,100,4.56,BR,1731267723
304,linden,6.0,-58.3,86.13,59,100,6.31,GY,1731267638
305,ancud,-41.8697,-73.8203,50.58,79,71,16.35,CL,1731267725
306,puerto santa,-8.9906,-78.6456,68.81,75,63,10.8,PE,1731267726
307,machico,32.7,-16.7667,70.43,88,40,11.5,PT,1731267727
308,vikulovo,56.8167,70.6107,18.86,87,100,12.86,RU,1731267728
309,san antonio de pale,-1.4014,5.6325,79.0,83,86,7.2,GQ,1731267626
310,tarawa,1.419,172.984,82.49,89,75,9.22,KI,1731267730
311,sawakin,19.1059,37.3321,85.5,73,69,6.69,SD,1731267732
312,shahada,21.55,74.4667,75.67,40,0,2.24,IN,1731267733
313,new norfolk,-42.7826,147.0587,45.72,86,11,2.57,AU,1731267734
314,jeddah,21.5169,39.2192,85.86,58,0,5.75,SA,1731267735
315,esfarayen,37.0765,57.5101,48.42,53,0,1.99,IR,1731267736
316,plettenberg bay,-34.0527,23.3716,59.11,86,32,5.55,ZA,1731267737
317,juhaynah,26.6732,31.4976,67.91,40,0,6.4,EG,1731267738
318,tual,-5.6667,132.75,82.76,79,94,12.66,ID,1731267739
319,kurchum,48.5722,83.6542,32.97,100,100,15.17,KZ,1731267740
320,mount isa,-20.7333,139.5,89.37,22,72,14.97,AU,1731267668
321,pangkalanbuun,-2.6833,111.6167,73.4,100,100,2.1,ID,1731267743
322,el obeid,13.1842,30.2167,79.68,23,31,12.97,SD,1731267744
323,lazaro cardenas,17.9583,-102.2,85.14,68,68,9.04,MX,1731267659
324,obihiro,42.9172,143.2044,44.06,87,87,0.83,JP,1731267746
325,sabang,5.8933,95.3214,82.33,76,100,5.32,ID,1731267747
326,faya-largeau,17.9257,19.1043,73.13,27,59,14.56,TD,1731267748
327,umm kaddadah,13.6017,26.6876,80.02,18,75,14.03,SD,1731267749
328,devils lake,48.1128,-98.8651,51.78,72,0,17.27,US,1731267750
329,pontianak,-0.0333,109.3333,75.18,100,40,2.3,ID,1731267751
330,nieves,15.3274,120.9485,75.38,96,100,1.45,PH,1731267752
331,newman,37.3138,-121.0208,65.03,41,42,1.99,US,1731267688
332,zaozersk,69.4005,32.4476,35.24,84,96,7.45,RU,1731267754
333,novoazovs'k,47.1139,38.086,44.85,66,0,10.74,UA,1731267755
334,avarua,-21.2078,-159.775,75.25,64,40,11.5,CK,1731267551
335,carnarvon,-24.8667,113.6333,68.05,70,45,25.39,AU,1731267757
336,bairnsdale,-37.8333,147.6167,50.05,96,10,4.07,AU,1731267758
337,camacupa,-12.0167,17.4833,63.68,95,100,2.66,AO,1731267759
338,tsiombe,-25.3,45.4833,73.53,82,51,5.32,MG,1731267760
339,margate,51.3813,1.3862,50.88,85,96,9.13,GB,1731267761
340,minas de marcona,-15.2119,-75.1103,67.14,59,10,12.28,PE,1731267762
341,masterton,-40.9597,175.6575,56.71,61,100,5.75,NZ,1731267763
342,birjand,32.8663,59.2211,46.87,39,0,6.91,IR,1731267764
343,vorgashor,67.5833,63.95,2.71,98,78,8.57,RU,1731267765
344,freetown,8.484,-13.2299,83.91,74,40,5.75,SL,1731267766
345,namdrik,5.5994,168.1028,82.65,78,100,13.0,MH,1731267768
346,luderitz,-26.6481,15.1594,61.48,72,0,19.6,NA,1731267541
347,bu'aale,1.0833,42.5833,76.24,91,82,4.36,SO,1731267770
348,ilo,-17.6394,-71.3375,65.68,82,43,7.27,PE,1731267771
349,dalandzadgad,43.5708,104.425,36.25,25,1,16.53,MN,1731267772
350,antofagasta,-23.65,-70.4,67.28,74,5,8.88,CL,1731267623
351,laiyang,36.9758,120.7136,53.78,89,99,1.57,CN,1731267774
352,horta,38.5333,-28.6333,68.02,90,40,18.41,PT,1731267775
353,vadso,70.0744,29.7487,39.36,87,100,8.05,NO,1731267776
354,tromso,69.6496,18.957,41.02,75,75,9.22,NO,1731267646
355,madimba,-10.4,40.3333,79.92,83,20,4.61,TZ,1731267778
356,miri,4.4148,114.0089,77.14,100,40,0.0,MY,1731267739
357,zlatoust,55.1711,59.6508,12.43,90,100,10.0,RU,1731267780
358,bhamo,24.2667,97.2333,70.03,84,96,0.76,MM,1731267781
359,xichang,27.8964,102.2634,50.83,91,0,1.25,CN,1731267782
360,itamarandiba,-17.8572,-42.8589,68.7,96,89,4.12,BR,1731267783
361,bouar,5.934,15.596,67.66,57,12,3.83,CF,1731267784
362,suva,-18.1416,178.4415,76.48,100,75,4.61,FJ,1731267508
